rajeev@Rajeevs-MacBook-Air airIQ % git pull --no-rebase origin main
error: You have not concluded your merge (MERGE_HEAD exists).
hint: Please, commit your changes before merging.
fatal: Exiting because of unfinished merge.
rajeev@Rajeevs-MacBook-Air airIQ % 
station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"Kharahiya Basti, Araria - BSPCB",2026-04-21 17:00:00,13.0,6.0,14.0,10.0,95.0,49.0,48.0,95.0
"Khatikan Mohalla, Dausa - RSPCB",2026-04-21 17:00:00,36.0,11.0,51.0,105.0,96.0,56.0,8.0,105.0
"Kherwadi_Bandra East, Mumbai - MPCB",2026-04-21 17:00:00,30.0,14.0,11.0,36.0,80.0,51.0,4.0,80.0
"Khindipada-Bhandup West, Mumbai - IITM",2026-04-21 17:00:00,21.0,5.0,21.0,62.0,86.0,47.0,10.0,86.0
"Khrew, Pampore - JKPCC",2026-04-21 17:00:00,28.0,5.0,18.0,44.0,79.0,77.0,4.0,79.0
"Khunmoh, Srinagar - JKPCC",2026-04-21 17:00:00,28.0,5.0,21.0,44.0,92.0,43.0,4.0,92.0
"Knowledge Park - III, Greater Noida - UPPCB",2026-04-21 17:00:00,23.0,8.0,57.0,118.0,176.0,68.0,18.0,176.0
"Knowledge Park - V, Greater Noida - UPPCB",2026-04-21 17:00:00,27.0,8.0,55.0,175.0,255.0,107.0,28.0,255.0
"Kodungaiyur, Chennai - TNPCB",2026-04-21 17:00:00,29.0,4.0,14.0,31.0,71.0,30.0,6.0,71.0
"Kokapet, Hyderabad - TSPCB",2026-04-21 17:00:00,33.0,2.0,15.0,35.0,88.0,62.0,16.0,88.0
"Kompally Municipal Office, Hyderabad - TSPCB",2026-04-21 17:00:00,20.0,3.0,15.0,22.0,79.0,48.0,9.0,79.0
"Kopripada-Vashi, Navi Mumbai - MPCB",2026-04-21 17:00:00,50.0,7.0,18.0,30.0,101.0,103.0,3.0,103.0
"Koyana Nagar, Satara - MPCB",2026-04-21 17:00:00,25.0,7.0,22.0,184.0,59.0,48.0,2.0,187.0
"Krishak Nagar, Raipur - CECB",2026-04-21 17:00:00,13.0,5.0,22.0,28.0,92.0,61.0,13.0,92.0
"Krishna Nagar, Bharatpur - RSPCB",2026-04-21 17:00:00,21.0,8.0,24.0,154.0,103.0,30.0,11.0,154.0
"Kukrail Picnic Spot-1, Lucknow - UPPCB",2026-04-21 17:00:00,17.0,6.0,32.0,31.0,119.0,59.0,23.0,119.0
"Kurla, Mumbai - MPCB",2026-04-21 17:00:00,27.0,5.0,22.0,29.0,92.0,61.0,13.0,92.0
"LGBI Airport, Guwahati - PCBA",2026-04-21 17:00:00,39.0,5.0,16.0,10.0,31.0,36.0,12.0,39.0
"Lalbagh, Lucknow - CPCB",2026-04-21 17:00:00,58.0,15.0,40.0,57.0,128.0,166.0,8.0,166.0
"Lingaraj Nagar, Hubballi - KSPCB",2026-04-21 17:00:00,20.0,1.0,8.0,29.0,55.0,39.0,2.0,55.0
"Lingraj Mandir, Bhubaneswar - OSPCB",2026-04-21 17:00:00,36.0,5.0,11.0,50.0,50.0,38.0,4.0,50.0
"Lodhi Road, Delhi - IMD",2026-04-21 17:00:00,16.0,5.0,26.0,115.0,143.0,87.0,13.0,143.0
"Lohiyanagar, Begusarai - BSPCB",2026-04-21 17:00:00,18.0,4.0,13.0,44.0,102.0,134.0,39.0,134.0
"Loni, Ghaziabad - UPPCB",2026-04-21 17:00:00,31.0,3.0,37.0,100.0,270.0,188.0,30.0,333.0
"Lumpyngngad, Shillong - Meghalaya PCB",2026-04-21 17:00:00,8.0,5.0,22.0,61.0,92.0,23.0,10.0,92.0
"MD University, Rohtak - HSPCB",2026-04-21 17:00:00,35.0,5.0,12.0,39.0,119.0,207.0,12.0,241.0
"MIDC Ambad, Nashik - MPCB",2026-04-21 17:00:00,34.0,3.0,12.0,56.0,80.0,66.0,25.0,80.0
"MIDC Khutala, Chandrapur - MPCB",2026-04-21 17:00:00,38.0,2.0,12.0,162.0,121.0,61.0,13.0,162.0
"MIET College, Meerut - UPPCB",2026-04-21 17:00:00,41.0,13.0,36.0,169.0,198.0,207.0,32.0,316.0
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-04-21 17:00:00,35.0,4.0,5.0,54.0,62.0,72.0,11.0,72.0
"MM Ground, Bikaner - RSPCB",2026-04-21 17:00:00,25.0,5.0,22.0,116.0,92.0,61.0,13.0,116.0
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",2026-04-21 17:00:00,5.0,1.0,11.0,6.0,118.0,109.0,48.0,118.0
"Maguda Nagar, Indore - IMC",2026-04-21 17:00:00,37.0,5.0,10.0,16.0,51.0,51.0,23.0,51.0
"Mahabir Colliery, Asansol - WBPCB",2026-04-21 17:00:00,11.0,1.0,10.0,65.0,71.0,34.0,4.0,71.0
"Mahal, Nagpur - MPCB",2026-04-21 17:00:00,38.0,13.0,53.0,34.0,104.0,114.0,58.0,114.0
"Mahape, Navi Mumbai - MPCB",2026-04-21 17:00:00,28.0,1.0,59.0,11.0,123.0,83.0,18.0,123.0
"Maharaj Bada, Gwalior - MPPCB",2026-04-21 17:00:00,36.0,5.0,36.0,159.0,105.0,37.0,13.0,159.0
"Mahashweta Nagar, Ujjain - MPPCB",2026-04-21 17:00:00,18.0,11.0,45.0,56.0,78.0,70.0,5.0,78.0
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",2026-04-21 17:00:00,41.0,3.0,16.0,44.0,49.0,37.0,4.0,49.0
"Mahesh Nagar, Malegaon - MPCB",2026-04-21 17:00:00,19.0,5.0,17.0,79.0,109.0,81.0,13.0,109.0
"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2026-04-21 17:00:00,41.0,4.0,12.0,82.0,71.0,52.0,11.0,82.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-04-21 17:00:00,45.0,15.0,70.0,67.0,146.0,76.0,21.0,146.0
"Malad West, Mumbai - IITM",2026-04-21 17:00:00,42.0,4.0,29.0,39.0,83.0,47.0,7.0,83.0
"Maldahiya, Varanasi - UPPCB",2026-04-21 17:00:00,20.0,5.0,3.0,8.0,104.0,91.0,36.0,104.0
"Manali Village, Chennai - TNPCB",2026-04-21 17:00:00,47.0,2.0,6.0,31.0,32.0,16.0,14.0,47.0
"Manali, Chennai - CPCB",2026-04-21 17:00:00,11.0,6.0,10.0,12.0,45.0,24.0,14.0,45.0
"Mandir Marg, Delhi - DPCC",2026-04-21 17:00:00,52.0,7.0,54.0,46.0,142.0,157.0,24.0,157.0
"Mandor, Jodhpur - RSPCB",2026-04-21 17:00:00,10.0,3.0,10.0,102.0,101.0,35.0,6.0,102.0
"Mangala, Bilaspur - NTPC",2026-04-21 17:00:00,27.0,5.0,28.0,44.0,77.0,83.0,14.0,83.0
"Maninagar, Ahmedabad - GPCB",2026-04-21 17:00:00,22.0,5.0,85.0,68.0,92.0,87.0,60.0,92.0
"Manoharpur, Agra - UPPCB",2026-04-21 17:00:00,20.0,12.0,19.0,5.0,155.0,52.0,40.0,155.0
"Mansarovar Sector-12, Jaipur - RSPCB",2026-04-21 17:00:00,15.0,5.0,22.0,94.0,147.0,61.0,9.0,147.0
"Marhatal, Jabalpur - MPPCB",2026-04-21 17:00:00,65.0,6.0,42.0,88.0,108.0,46.0,22.0,108.0
"Mariam Nagar, Purnia - BSPCB",2026-04-21 17:00:00,59.0,2.0,6.0,29.0,62.0,78.0,17.0,78.0
"Masoom Colony, Parbhani - MPCB",2026-04-21 17:00:00,12.0,4.0,20.0,29.0,117.0,91.0,18.0,117.0
"Mavdi, Rajkot - Nexteng Enviro ",2026-04-21 17:00:00,91.0,1.0,11.0,13.0,73.0,67.0,19.0,91.0
"Mayaganj, Bhagalpur - BSPCB",2026-04-21 17:00:00,83.0,7.0,7.0,22.0,140.0,193.0,56.0,193.0
"Mazgaon, Mumbai - IITM",2026-04-21 17:00:00,64.0,6.0,40.0,61.0,79.0,49.0,8.0,79.0
"Meelavittan, Thoothukudi - TNPCB",2026-04-21 17:00:00,36.0,5.0,17.0,32.0,64.0,61.0,10.0,64.0
"Meher Colony, Baripada - OSPCB",2026-04-21 17:00:00,21.0,1.0,11.0,57.0,84.0,65.0,9.0,84.0
"Mhada Colony, Pune - IITM",2026-04-21 17:00:00,63.0,5.0,32.0,67.0,85.0,47.0,13.0,85.0
"Mindspace-Malad West, Mumbai - MPCB",2026-04-21 17:00:00,12.0,2.0,12.0,44.0,55.0,34.0,3.0,55.0
"Mini Secretariat, Charkhi Dadri - HSPCB",2026-04-21 17:00:00,14.0,6.0,15.0,16.0,159.0,207.0,11.0,251.0
"Mirchaibari, Katihar - BSPCB",2026-04-21 17:00:00,78.0,5.0,22.0,17.0,92.0,61.0,13.0,92.0
"Model Town, Patiala - PPCB",2026-04-21 17:00:00,14.0,6.0,18.0,36.0,107.0,54.0,12.0,107.0
"More Chowk Waluj, Aurangabad - MPCB",2026-04-21 17:00:00,4.0,16.0,18.0,55.0,76.0,85.0,34.0,85.0
"Moti Doongri, Alwar - RSPCB",2026-04-21 17:00:00,28.0,8.0,44.0,46.0,104.0,61.0,20.0,104.0
"Motilal Nehru NIT, Prayagraj - UPPCB",2026-04-21 17:00:00,12.0,8.0,12.0,32.0,89.0,37.0,28.0,89.0
"Mudtra Sili, Jalore - RSPCB",2026-04-21 17:00:00,20.0,4.0,14.0,71.0,71.0,29.0,5.0,71.0
"Mulund West, Mumbai - MPCB",2026-04-21 17:00:00,28.0,5.0,45.0,44.0,92.0,21.0,13.0,92.0
"Mundka, Delhi - DPCC",2026-04-21 17:00:00,47.0,6.0,48.0,78.0,270.0,197.0,34.0,276.0
"Municipal Corporation Office, Dharuhera -  HSPCB",2026-04-21 17:00:00,73.0,19.0,38.0,53.0,101.0,119.0,7.0,119.0
"Muradpur, Patna - BSPCB",2026-04-21 17:00:00,17.0,5.0,11.0,6.0,204.0,207.0,9.0,221.0
"Murthal, Sonipat - HSPCB",2026-04-21 17:00:00,47.0,19.0,12.0,23.0,124.0,77.0,8.0,124.0
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-04-21 17:00:00,41.0,5.0,12.0,16.0,92.0,86.0,5.0,92.0
"NISE Gwal Pahari, Gurugram - IMD",2026-04-21 17:00:00,47.0,5.0,19.0,75.0,194.0,125.0,13.0,194.0
"NSI Kalyanpur, Kanpur - UPPCB",2026-04-21 17:00:00,13.0,2.0,28.0,16.0,101.0,59.0,15.0,101.0
"NSIT Dwarka, Delhi - CPCB",2026-04-21 17:00:00,65.0,15.0,94.0,65.0,162.0,108.0,18.0,162.0
"NSUT Jaffarpur, Delhi - DPCC",2026-04-21 17:00:00,46.0,5.0,36.0,184.0,177.0,172.0,49.0,191.0
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2026-04-21 17:00:00,22.0,6.0,16.0,37.0,92.0,69.0,13.0,92.0
"Nagar Nigam, Prayagraj - UPPCB",2026-04-21 17:00:00,20.0,7.0,5.0,12.0,65.0,33.0,40.0,65.0
"Nagla Bhau, Firozabad - UPPCB",2026-04-21 17:00:00,44.0,2.0,17.0,19.0,80.0,57.0,32.0,80.0
"Naharlagun, Naharlagun - APSPCB",2026-04-21 17:00:00,12.0,1.0,7.0,6.0,36.0,32.0,10.0,36.0
"Najafgarh, Delhi - DPCC",2026-04-21 17:00:00,21.0,12.0,40.0,52.0,188.0,166.0,32.0,188.0
"Narela, Delhi - DPCC",2026-04-21 17:00:00,52.0,10.0,24.0,68.0,210.0,138.0,20.0,210.0
"Nathu Colony, Ballabgarh - HSPCB",2026-04-21 17:00:00,51.0,3.0,20.0,44.0,270.0,105.0,9.0,294.0
"Navy Nagar-Colaba, Mumbai - IITM",2026-04-21 17:00:00,28.0,5.0,22.0,57.0,94.0,60.0,9.0,94.0
"Nayapura, Kota - RSPCB",2026-04-21 17:00:00,20.0,4.0,48.0,56.0,97.0,130.0,21.0,130.0
"Nehru Nagar, Delhi - DPCC",2026-04-21 17:00:00,42.0,10.0,52.0,55.0,176.0,112.0,33.0,176.0
"Nehru Nagar, Kanpur - UPPCB",2026-04-21 17:00:00,63.0,5.0,44.0,25.0,55.0,61.0,15.0,63.0
"Nerul, Navi Mumbai - MPCB",2026-04-21 17:00:00,28.0,7.0,57.0,44.0,92.0,58.0,13.0,92.0
"New Colony, Bundi - RSPCB",2026-04-21 17:00:00,11.0,3.0,46.0,104.0,82.0,37.0,11.0,104.0
"New DM Office, Arrah - BSPCB",2026-04-21 17:00:00,56.0,2.0,7.0,8.0,77.0,112.0,5.0,112.0
"New Industrial Town, Faridabad - HSPCB",2026-04-21 17:00:00,63.0,11.0,25.0,15.0,90.0,102.0,8.0,102.0
"New Malakpet, Hyderabad - TSPCB",2026-04-21 17:00:00,35.0,3.0,15.0,31.0,88.0,66.0,16.0,88.0
"New Mandi, Muzaffarnagar - UPPCB",2026-04-21 17:00:00,22.0,7.0,39.0,102.0,165.0,95.0,37.0,165.0
"New Moti Bagh, Delhi - MHUA",2026-04-21 17:00:00,21.0,5.0,9.0,44.0,92.0,96.0,13.0,96.0
"North Campus, DU, Delhi - IMD",2026-04-21 17:00:00,28.0,5.0,40.0,94.0,168.0,101.0,13.0,168.0
"OMC Colony, Suakati - OSPCB",2026-04-21 17:00:00,20.0,4.0,10.0,122.0,143.0,174.0,15.0,174.0
"OP Jindal Industrial Park, Tumidih - CECB",2026-04-21 17:00:00,24.0,2.0,69.0,86.0,92.0,68.0,10.0,92.0
"OP Jindal School, Kunjemura - CECB",2026-04-21 17:00:00,38.0,2.0,43.0,33.0,103.0,48.0,30.0,103.0
"Okhla Phase-2, Delhi - DPCC",2026-04-21 17:00:00,49.0,13.0,94.0,45.0,180.0,96.0,33.0,180.0
"Old City, Sri Ganganagar - RSPCB",2026-04-21 17:00:00,36.0,4.0,22.0,164.0,140.0,67.0,5.0,164.0
"Old MIDC, Jalna - MPCB",2026-04-21 17:00:00,8.0,4.0,21.0,70.0,75.0,58.0,13.0,75.0
"Omex Eternity, Vrindavan - UPPCB",2026-04-21 17:00:00,17.0,9.0,27.0,16.0,100.0,45.0,23.0,100.0
"Opp GPO Civil Lines, Nagpur - MPCB",2026-04-21 17:00:00,36.0,6.0,45.0,43.0,92.0,61.0,22.0,92.0
"PCBL Residential Complex, Durgapur - WBPCB",2026-04-21 17:00:00,19.0,7.0,46.0,11.0,94.0,73.0,10.0,94.0
"PWD Junction, Kohima - NPCB",2026-04-21 17:00:00,5.0,1.0,4.0,9.0,92.0,61.0,32.0,92.0
"Padmapukur, Howrah - WBPCB",2026-04-21 17:00:00,20.0,4.0,12.0,37.0,53.0,42.0,21.0,53.0
"Pallavpuram Phase 2, Meerut - UPPCB",2026-04-21 17:00:00,32.0,8.0,46.0,103.0,214.0,122.0,21.0,214.0
"Pan Bazaar, Guwahati - PCBA",2026-04-21 17:00:00,20.0,5.0,22.0,30.0,92.0,61.0,13.0,92.0
"Panchawati_Pashan, Pune - IITM",2026-04-21 17:00:00,55.0,5.0,17.0,36.0,73.0,50.0,13.0,73.0
"Pandav Nagari, Nashik - MPCB",2026-04-21 17:00:00,18.0,2.0,11.0,51.0,66.0,44.0,10.0,66.0
"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-04-21 17:00:00,28.0,4.0,52.0,49.0,105.0,86.0,9.0,105.0
"Paryavaran Parisar, Bhopal - MPPCB",2026-04-21 17:00:00,24.0,7.0,27.0,44.0,76.0,46.0,27.0,76.0
"Patia, Bhubaneswar - OSPCB",2026-04-21 17:00:00,83.0,6.0,9.0,62.0,66.0,43.0,6.0,83.0
"Patparganj, Delhi - DPCC",2026-04-21 17:00:00,44.0,8.0,80.0,57.0,192.0,93.0,20.0,192.0
"Patti Mehar, Ambala - HSPCB",2026-04-21 17:00:00,30.0,8.0,10.0,21.0,10.0,9.0,22.0,30.0
"Perungudi, Chennai - TNPCB",2026-04-21 17:00:00,36.0,1.0,4.0,3.0,42.0,59.0,4.0,59.0
"Phase-1 GIDC, Vapi - GPCB",2026-04-21 17:00:00,28.0,3.0,26.0,21.0,92.0,92.0,21.0,92.0
"Phase-4 GIDC, Vatva - GPCB",2026-04-21 17:00:00,3.0,19.0,62.0,43.0,122.0,108.0,52.0,122.0
"Plammoodu, Thiruvananthapuram - Kerala PCB",2026-04-21 17:00:00,18.0,5.0,22.0,18.0,47.0,31.0,20.0,47.0
"Polayathode, Kollam - Kerala PCB",2026-04-21 17:00:00,16.0,5.0,22.0,36.0,92.0,61.0,13.0,92.0
"Police Commissionerate, Jaipur - RSPCB",2026-04-21 17:00:00,55.0,19.0,24.0,77.0,107.0,78.0,34.0,107.0
"Police Line, Saharsa - BSPCB",2026-04-21 17:00:00,41.0,4.0,7.0,41.0,148.0,118.0,18.0,148.0
"Police Lines, Jind - HSPCB",2026-04-21 17:00:00,6.0,5.0,38.0,36.0,113.0,185.0,2.0,185.0
"Powai, Mumbai - MPCB",2026-04-21 17:00:00,28.0,2.0,7.0,9.0,66.0,52.0,3.0,66.0
"Prabhat Colony, Jalgaon - MPCB",2026-04-21 17:00:00,29.0,2.0,13.0,95.0,86.0,65.0,12.0,95.0
"Pragati Nagar, Pratapgarh - RSPCB",2026-04-21 17:00:00,12.0,8.0,16.0,88.0,106.0,44.0,7.0,106.0
"Prashant Garden, Khora - UPPCB",2026-04-21 17:00:00,61.0,10.0,94.0,180.0,199.0,207.0,23.0,341.0
"Pratap Nagar, Bhilwara - RSPCB",2026-04-21 17:00:00,36.0,5.0,28.0,70.0,109.0,33.0,14.0,109.0
"Priyambada Housing Estate, Haldia - WBPCB",2026-04-21 17:00:00,24.0,4.0,16.0,36.0,65.0,53.0,13.0,65.0
"Punjab Agricultural University, Ludhiana - PPCB",2026-04-21 17:00:00,40.0,12.0,49.0,43.0,100.0,86.0,14.0,100.0
"Punjabi Bagh, Delhi - DPCC",2026-04-21 17:00:00,49.0,4.0,44.0,81.0,179.0,119.0,54.0,179.0
"Pusa, Delhi - DPCC",2026-04-21 17:00:00,70.0,14.0,94.0,70.0,231.0,137.0,34.0,231.0
"Pusa, Delhi - IMD",2026-04-21 17:00:00,96.0,5.0,25.0,162.0,144.0,87.0,13.0,162.0
"R K Puram, Delhi - DPCC",2026-04-21 17:00:00,23.0,15.0,65.0,52.0,210.0,145.0,44.0,210.0
"RIICO Ind. Area III, Bhiwadi - RSPCB",2026-04-21 17:00:00,16.0,6.0,37.0,40.0,111.0,168.0,14.0,168.0
"RIICO Sitapura, Jaipur - RSPCB",2026-04-21 17:00:00,76.0,2.0,74.0,116.0,162.0,110.0,14.0,162.0
"RIMT University, Mandi Gobindgarh - PPCB",2026-04-21 17:00:00,36.0,6.0,24.0,35.0,202.0,184.0,25.0,202.0
"RVCE-Mailasandra, Bengaluru - KSPCB",2026-04-21 17:00:00,15.0,4.0,25.0,28.0,94.0,80.0,13.0,94.0
"Rabindra Bharati University, Kolkata - WBPCB",2026-04-21 17:00:00,32.0,7.0,50.0,58.0,61.0,58.0,9.0,61.0
"Rabindra Sarobar, Kolkata - WBPCB",2026-04-21 17:00:00,22.0,7.0,34.0,24.0,44.0,34.0,6.0,44.0
"Rachnakar Colony, Aurangabad - MPCB",2026-04-21 17:00:00,29.0,4.0,32.0,77.0,85.0,61.0,18.0,85.0
"Radhakishan Pura, Sikar - RSPCB",2026-04-21 17:00:00,14.0,9.0,30.0,110.0,148.0,47.0,4.0,148.0
"Raghunathpali, Rourkela - OSPCB",2026-04-21 17:00:00,48.0,1.0,15.0,25.0,89.0,77.0,6.0,89.0
"Raikhad, Ahmedabad - IITM",2026-04-21 17:00:00,28.0,8.0,56.0,33.0,107.0,63.0,24.0,107.0
"Railway Colony, Barmer - RSPCB",2026-04-21 17:00:00,19.0,5.0,10.0,58.0,85.0,26.0,3.0,85.0
"Railway Colony, Guwahati - PCBA",2026-04-21 17:00:00,28.0,1.0,3.0,2.0,36.0,48.0,3.0,48.0
"Raja Ganj, Dholpur - RSPCB",2026-04-21 17:00:00,27.0,5.0,36.0,52.0,98.0,61.0,6.0,98.0
"Rajbagh, Srinagar - JKPCC",2026-04-21 17:00:00,17.0,5.0,22.0,2.0,39.0,25.0,3.0,39.0
"Rajbansi Nagar, Patna - BSPCB",2026-04-21 17:00:00,48.0,3.0,31.0,30.0,119.0,128.0,13.0,128.0
"Rajendra Nagar North, Guntur - APPCB",2026-04-21 17:00:00,10.0,4.0,19.0,63.0,83.0,69.0,14.0,83.0
"Rajendra Nagar, Bareilly - UPPCB",2026-04-21 17:00:00,25.0,1.0,9.0,5.0,92.0,28.0,47.0,92.0
"Rajiv Gandhi Park, Vijayawada - APPCB",2026-04-21 17:00:00,33.0,7.0,18.0,36.0,47.0,49.0,20.0,49.0
"Rajiv Nagar, Vijayawada - APPCB",2026-04-21 17:00:00,21.0,5.0,22.0,31.0,92.0,61.0,13.0,92.0
"Rajlaxmi Nagar, Jhalawar - RSPCB",2026-04-21 17:00:00,24.0,7.0,30.0,99.0,88.0,45.0,20.0,99.0
"Rakhial, Ahmedabad - IITM",2026-04-21 17:00:00,4.0,3.0,4.0,48.0,122.0,54.0,53.0,122.0
"Ram Nagar, Nagpur - MPCB",2026-04-21 17:00:00,12.0,4.0,23.0,55.0,89.0,69.0,17.0,89.0
"Ramachandrapuram, Hyderabad - TSPCB",2026-04-21 17:00:00,32.0,4.0,14.0,31.0,79.0,51.0,11.0,79.0
"Ramdaspeth, Akola - MPCB",2026-04-21 17:00:00,19.0,7.0,14.0,82.0,81.0,80.0,20.0,82.0
"Rampur, Korba - CECB",2026-04-21 17:00:00,19.0,5.0,38.0,13.0,74.0,30.0,48.0,74.0
"Ramteerth Nagar, Belgaum - KSPCB",2026-04-21 17:00:00,28.0,8.0,57.0,19.0,69.0,53.0,45.0,69.0
"Ratandeep Housing Society, Solapur - MPCB",2026-04-21 17:00:00,21.0,9.0,68.0,42.0,107.0,86.0,7.0,107.0
"Ratanpura, Rupnagar - Ambuja Cements",2026-04-21 17:00:00,36.0,5.0,26.0,44.0,22.0,17.0,14.0,44.0
"Rati Talai, Banswara - RSPCB",2026-04-21 17:00:00,26.0,4.0,32.0,71.0,94.0,49.0,6.0,94.0
"Regional Park, Indore - IMC",2026-04-21 17:00:00,20.0,2.0,19.0,8.0,39.0,44.0,22.0,44.0
"Residency Area, Indore - IMC",2026-04-21 17:00:00,30.0,5.0,22.0,13.0,51.0,43.0,7.0,51.0
"Revenue Colony-Shivajinagar, Pune - IITM",2026-04-21 17:00:00,43.0,5.0,22.0,35.0,92.0,61.0,13.0,92.0
"Rishi Nagar, Kaithal - HSPCB",2026-04-21 17:00:00,24.0,6.0,31.0,17.0,108.0,93.0,60.0,108.0
"Rohini, Delhi - DPCC",2026-04-21 17:00:00,24.0,7.0,34.0,45.0,220.0,134.0,26.0,220.0
"Rohta, Agra - UPPCB",2026-04-21 17:00:00,18.0,5.0,13.0,12.0,92.0,67.0,11.0,92.0
"Royapuram, Chennai - TNPCB",2026-04-21 17:00:00,23.0,4.0,13.0,17.0,46.0,22.0,6.0,46.0
"SAC ISRO Bopal, Ahmedabad - IITM",2026-04-21 17:00:00,28.0,4.0,18.0,63.0,71.0,65.0,12.0,71.0
"SAC ISRO Satellite, Ahmedabad - IITM",2026-04-21 17:00:00,42.0,4.0,13.0,16.0,100.0,85.0,17.0,100.0
"SDM Office_Khagra, Kishanganj - BSPCB",2026-04-21 17:00:00,14.0,3.0,8.0,34.0,47.0,53.0,8.0,53.0
"SFTI Kusdihra, Gaya - BSPCB",2026-04-21 17:00:00,14.0,4.0,23.0,67.0,73.0,65.0,8.0,73.0
"SIDCO Kurichi, Coimbatore - TNPCB",2026-04-21 17:00:00,33.0,1.0,14.0,20.0,54.0,51.0,24.0,54.0
"SIPCOT Industrial Park, Perundurai - TNPCB",2026-04-21 17:00:00,41.0,3.0,12.0,23.0,50.0,40.0,17.0,50.0
"SRM University, Modinagar - UPPCB",2026-04-21 17:00:00,45.0,3.0,58.0,73.0,270.0,207.0,30.0,290.0
"SVPI Airport Hansol, Ahmedabad - IITM",2026-04-21 17:00:00,27.0,2.0,32.0,64.0,109.0,52.0,18.0,109.0
"SVSPA Campus, Barrackpore - WBPCB",2026-04-21 17:00:00,34.0,6.0,24.0,45.0,64.0,53.0,15.0,64.0
"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-04-21 17:00:00,54.0,3.0,39.0,14.0,148.0,54.0,9.0,148.0
"Sadar Bazar, Jaisalmer - RSPCB",2026-04-21 17:00:00,17.0,15.0,22.0,65.0,118.0,61.0,3.0,118.0
"Sahilara, Maihar - KJS Cements",2026-04-21 17:00:00,81.0,5.0,22.0,44.0,92.0,61.0,13.0,92.0
"Sahu Nagar, Sawai Madhopur - RSPCB",2026-04-21 17:00:00,29.0,4.0,38.0,148.0,137.0,37.0,3.0,148.0
"Samanpura, Patna - BSPCB",2026-04-21 17:00:00,68.0,5.0,13.0,100.0,158.0,82.0,5.0,158.0
"Samrat Ashok Udhyan, Jodhpur - RSPCB",2026-04-21 17:00:00,17.0,4.0,8.0,58.0,100.0,35.0,4.0,100.0
"Sanathnagar, Hyderabad - TSPCB",2026-04-21 17:00:00,40.0,5.0,22.0,15.0,92.0,61.0,13.0,92.0
"Sanegurava Halli, Bengaluru - KSPCB",2026-04-21 17:00:00,21.0,5.0,22.0,44.0,92.0,61.0,13.0,92.0
"Sanjay Nagar, Ghaziabad - UPPCB",2026-04-21 17:00:00,77.0,8.0,52.0,109.0,217.0,99.0,32.0,217.0
"Sanjay Palace, Agra - UPPCB",2026-04-21 17:00:00,33.0,5.0,11.0,122.0,177.0,128.0,18.0,177.0
"Sardar Patel Inter College, Baghpat - UPPCB",2026-04-21 17:00:00,46.0,2.0,27.0,77.0,250.0,128.0,43.0,250.0
"Sardar Patel Nagar, Dhanbad - JSPCB",2026-04-21 17:00:00,69.0,5.0,22.0,58.0,92.0,61.0,13.0,92.0
"Satyawati Vihar, Karauli - RSPCB",2026-04-21 17:00:00,38.0,8.0,43.0,96.0,94.0,63.0,11.0,96.0
"Savitribai Phule Pune University, Pune - MPCB",2026-04-21 17:00:00,19.0,2.0,21.0,64.0,62.0,43.0,5.0,64.0
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",2026-04-21 17:00:00,54.0,5.0,45.0,15.0,84.0,56.0,13.0,84.0
"Sawe Wadi, Latur - MPCB",2026-04-21 17:00:00,14.0,7.0,22.0,40.0,59.0,64.0,6.0,64.0
"Science Center, Surat - SMC",2026-04-21 17:00:00,49.0,5.0,15.0,44.0,82.0,64.0,18.0,82.0
"Secretariat, Amaravati - APPCB",2026-04-21 17:00:00,13.0,3.0,16.0,62.0,50.0,28.0,15.0,62.0
"Sector - 125, Noida - UPPCB",2026-04-21 17:00:00,44.0,16.0,66.0,104.0,180.0,97.0,13.0,180.0
"Sector - 62, Noida - IMD",2026-04-21 17:00:00,56.0,5.0,19.0,99.0,162.0,111.0,13.0,162.0
"Sector 11, Faridabad - HSPCB",2026-04-21 17:00:00,40.0,10.0,31.0,15.0,172.0,207.0,3.0,218.0
"Sector 22, Chandigarh - CPCC",2026-04-21 17:00:00,62.0,19.0,14.0,67.0,95.0,55.0,12.0,95.0
"Sector 30, Faridabad - HSPCB",2026-04-21 17:00:00,63.0,11.0,37.0,10.0,75.0,64.0,6.0,75.0
"Sector-1, Noida - UPPCB",2026-04-21 17:00:00,30.0,10.0,63.0,73.0,206.0,101.0,18.0,206.0
"Sector-10, Gandhinagar - GPCB",2026-04-21 17:00:00,24.0,1.0,18.0,31.0,88.0,73.0,20.0,88.0
"Sector-116, Noida - UPPCB",2026-04-21 17:00:00,18.0,3.0,19.0,85.0,166.0,85.0,20.0,166.0
